YEARLY_INCOME,CURRENT_SAVINGS_TO_YEARLY_INCOME_RATIO,CURRENT_DEBT_TO_YEARLY_INCOME_RATIO,CURRENT_DEBT_TO_CURRENT_SAVINGS_RATIO,YEARLY_CLOTHING_TO_YEARLY_INCOME_RATIO,YEARLY_CLOTHING_TO_CURRENT_SAVINGS_RATIO,YEARLY_CLOTHING_TO_CURRENT_DEBT_RATIO,YEARLY_EDUCATION_TO_YEARLY_INCOME_RATIO,YEARLY_EDUCATION_TO_CURRENT_SAVINGS_RATIO,YEARLY_EDUCATION_TO_CURRENT_DEBT_RATIO,YEARLY_ENTERTAINMENT_TO_YEARLY_INCOME_RATIO,YEARLY_ENTERTAINMENT_TO_CURRENT_SAVINGS_RATIO,YEARLY_ENTERTAINMENT_TO_CURRENT_DEBT_RATIO,YEARLY_LOAN_FINES_TO_YEARLY_INCOME_RATIO,YEARLY_LOAN_FINES_TO_CURRENT_SAVINGS_RATIO,YEARLY_LOAN_FINES_CURRENT_DEBT_RATIO,YEARLY_GAMBLING_TO_YEARLY_INCOME_RATIO,YEARLY_GAMBLING_TO_CURRENT_SAVINGS_RATIO,YEARLY_GAMBLING_TO_CURRENT_DEBT_RATIO,YEARLY_GROCERIES_TO_YEARLY_INCOME_RATIO,YEARLY_GROCERIES_TO_CURRENT_SAVINGS_RATIO,YEARLY_GROCERIES_TO-CURRENT_DEBT_RATIO,YEARLY_HEALTH_TO_YEARLY_INCOME_RATIO,YEARLY_HEALTH__TO_CURRENT_SAVINGS_RATIO,YEARLY_HEALTH_TO_CURRENT_DEBT_RATIO,YEARLY_HOUSING_TO_YEARLY_INCOME_RATIO,YEARLY_HOUSING_TO_CURRENT_SAVINGS_RATIO,YEARLY_HOUSING_TO_CURRENT_DEBT_RATIO,YEARLY_TAX_TO_YEARLY_INCOME_RATIO,YEARLY_TAX_TO_CURRENT_SAVINGS_RATIO,YEARLY_TAX_TO_CURRENT_DEBT_RATIO,YEARLY_TRAVEL_TO_YEARLY_INCOME_RATIO,YEARLY_TRAVEL_TO_CURRENT_SAVINGS_RATIO,YEARLY_TRAVEL_TO_CURRENT_DEBT_RATIO,YEARLY_UTILITIES_TO_YEARLY_INCOME_RATIO,YEARLY_UTILITIES_TO_CURRENT_SAVINGS_RATIO,YEARLY_UTILITIES_TO_CURRENT_DEBT_RATIO,YEARLY_EXPENDITURE_TO_YEARLY_INCOME_RATIO,YEARLY_EXPENDITURE_TO_CURRENT_SAVINGS_RATIO,YEARLY_EXPENDITURE_TO_CURRENT_DEBT_RATIO,CREDIT_SCORE
106512,1.7273,2.6364,1.5263,0.0624,0.0362,0.0237,0.0305,0.0176,0.0116,0.1487,0.0861,0.0564,0,0,0,0,0,0,0.1268,0.0734,0.0481,0.0519,0.03,0.0197,0,0,0,0.0425,0.0246,0.0161,0.385,0.2229,0.146,0.0613,0.0355,0.0233,0.9091,0.5263,0.3448,620
332069,7.25,2.4167,0.3333,0.0442,0.0061,0.0183,0,0,0,0.029,0.004,0.012,0,0,0,0.0084,0.0012,0.0035,0.2203,0.0304,0.0911,0.034,0.0047,0.0141,0.2354,0.0325,0.0974,0.0217,0.003,0.009,0.1833,0.0253,0.0758,0.0571,0.0079,0.0236,0.8333,0.1149,0.3448,563
125575,0.6,1.2,2,0.1185,0.1975,0.0987,0.0528,0.088,0.044,0.1622,0.2703,0.1351,0,0,0,0,0,0,0.0607,0.1012,0.0506,0.0256,0.0426,0.0213,0,0,0,0.0165,0.0275,0.0138,0.5372,0.8954,0.4477,0.0265,0.0442,0.0221,1,1.6667,0.8333,617
185935,3.5833,12.1667,3.3953,0.0225,0.0063,0.0019,0.0308,0.0086,0.0025,0.1187,0.0331,0.0098,0,0,0,0,0,0,0.1267,0.0354,0.0104,0.0267,0.0075,0.0022,0.166,0.0463,0.0136,0.047,0.0131,0.0039,0.2328,0.065,0.0191,0.062,0.0173,0.0051,0.8333,0.2326,0.0685,592
42102,0,24.1821,0,0.0195,0.0937,0.0008,0.2405,0.2844,0.0099,0.1937,0.6833,0.008,0,0.0017,0,0,0.0613,0,0.1283,0,0.0053,0.0197,0.047,0.0008,0,0,0,0,0.0271,0,0.2799,0,0.0116,0.0275,0.0538,0.0011,0.9091,0.8074,0.0376,391
183006,1.1538,10.9231,9.4667,0.0371,0.0322,0.0034,0,0,0,0.1134,0.0983,0.0104,0,0,0,0.0638,0.0553,0.0058,0.1456,0.1262,0.0133,0.0324,0.0281,0.003,0,0,0,0.0464,0.0402,0.0042,0.2696,0.2336,0.0247,0.0609,0.0528,0.0056,0.7692,0.6667,0.0704,552
76038,7,1.1,0.1571,0.0249,0.0036,0.0226,0,0,0,0.1082,0.0155,0.0983,0,0,0,0,0,0,0.1344,0.0192,0.1221,0.064,0.0091,0.0581,0.2267,0.0324,0.2061,0.006,0.0009,0.0055,0.3856,0.0551,0.3505,0.0504,0.0072,0.0458,1,0.1429,0.9091,665
171333,1.9333,1.3333,0.6897,0.0218,0.0113,0.0163,0.0225,0.0117,0.0169,0.1884,0.0974,0.1413,0,0,0,0,0,0,0.0884,0.0457,0.0663,0.0172,0.0089,0.0129,0.1212,0.0627,0.0909,0.0343,0.0178,0.0257,0.1278,0.0661,0.0958,0.0452,0.0234,0.0339,0.6667,0.3448,0.5,608
232646,3.6364,14.5454,4,0.0254,0.007,0.0017,0,0,0,0.0435,0.012,0.003,0,0,0,0,0,0,0.2171,0.0597,0.0149,0.0495,0.0136,0.0034,0.3145,0.0865,0.0216,0.029,0.008,0.002,0.154,0.0423,0.0106,0.076,0.0209,0.0052,0.9091,0.25,0.0625,504
239586,1.8667,9.6667,5.1786,0.0482,0.0258,0.005,0.0177,0.0095,0.0018,0.0669,0.0359,0.0069,0,0,0,0.0389,0.0208,0.004,0.0734,0.0393,0.0076,0.0127,0.0068,0.0013,0.0955,0.0512,0.0099,0.0271,0.0145,0.0028,0.2508,0.1344,0.0259,0.0354,0.019,0.0037,0.6667,0.3571,0.069,603
50908,11.3332,0.3333,0.0294,0.0088,0.0008,0.0263,0,0,0,0.1418,0.0125,0.4254,0,0,0,0.0138,0.0012,0.0414,0.1972,0.0174,0.5915,0.1228,0.0108,0.3685,0.2951,0.026,0.8853,0.0078,0.0007,0.0233,0.2586,0.0228,0.7758,0.0653,0.0058,0.1958,1.1111,0.098,3.3334,642
87120,0.9,4.4,4.8889,0.1144,0.1272,0.026,0,0,0,0.2126,0.2362,0.0483,0,0,0,0,0,0,0.0669,0.0743,0.0152,0.0206,0.0229,0.0047,0.2,0.2222,0.0455,0.029,0.0322,0.0066,0.3215,0.3572,0.0731,0.035,0.0389,0.008,1,1.1111,0.2273,634
0,3.8019,5.0991,0.24,0.0772,0,0,0,0,0,0,0,0,0,0,0,0,0.0302,0.126,0.0727,0.0558,0.2324,0.0801,0.0097,0.0405,0.0193,0.0779,0.3244,0.0309,0,0,0.2638,0,0,0.0352,0.0264,0.1099,1.2083,0.2,0.8332,614
4498,1,0,0,0.0256,0.0256,0,0.0636,0.0636,0.0565,0.8368,0.8368,0,0,0,0.0004,0,0,0,0.1361,0.1361,0.015,0,0,0.0994,0,0,0.016,0,0,0,0.9382,0.9382,0.4929,0,0,0,2.0002,2.0002,0,585
34229,6,0.4,0.0667,0.0315,0.0052,0.0787,0,0,0,0.125,0.0208,0.3126,0,0,0,0,0,0,0.1525,0.0254,0.3813,0.0599,0.01,0.1496,0,0,0,0.0064,0.0011,0.0161,0.5663,0.0944,1.4157,0.0583,0.0097,0.1459,1,0.1667,2.4999,610
8917,0.1111,0.8889,7.998,0.0566,0.5096,0.0637,0.4821,4.338,0.5424,0.2358,2.1221,0.2653,0,0,0,0,0,0,0.2545,2.2896,0.2863,0.0271,0.2442,0.0305,0,0,0,0,0,0,0,0,0,0.055,0.4945,0.0618,1.1111,9.998,1.2501,594
297516,1.25,7.9167,6.3333,0.0223,0.0178,0.0028,0,0,0,0.1239,0.0991,0.0156,0,0,0,0,0,0,0.1119,0.0895,0.0141,0.0214,0.0171,0.0027,0.1746,0.1397,0.0221,0.054,0.0432,0.0068,0.2604,0.2083,0.0329,0.0649,0.0519,0.0082,0.8333,0.6667,0.1053,570
25623,0.7778,23.6667,30.4286,0.0412,0.053,0.0017,0,0,0,0.1254,0.1613,0.0053,0,0,0,0,0,0,0.1926,0.2477,0.0081,0.0334,0.043,0.0014,0,0,0,0,0,0,0.6802,0.8745,0.0287,0.0382,0.0492,0.0016,1.1111,1.4286,0.0469,435
277118,5.0833,14.3334,2.8197,0.0315,0.0062,0.0022,0.127,0.025,0.0089,0.0342,0.0067,0.0024,0,0,0,0.0109,0.0021,0.0008,0.2425,0.0477,0.0169,0.0712,0.014,0.005,0,0,0,0.0258,0.0051,0.0018,0.2223,0.0437,0.0155,0.0678,0.0133,0.0047,0.8333,0.1639,0.0581,509
335323,3,7.8462,2.6154,0.0316,0.0105,0.004,0.0239,0.008,0.003,0.0904,0.0301,0.0115,0,0,0,0.0455,0.0152,0.0058,0.097,0.0323,0.0124,0.0351,0.0117,0.0045,0,0,0,0.0398,0.0133,0.0051,0.358,0.1193,0.0456,0.0479,0.016,0.0061,0.7692,0.2564,0.098,524
457662,3.7692,3,0.7959,0.0723,0.0192,0.0241,0,0,0,0.079,0.021,0.0263,0,0,0,0,0,0,0.1035,0.0275,0.0345,0.0222,0.0059,0.0074,0.1122,0.0298,0.0374,0.0318,0.0084,0.0106,0.3065,0.0813,0.1022,0.0418,0.0111,0.0139,0.7692,0.2041,0.2564,531
77877,6.0909,17.0908,2.806,0.0184,0.003,0.0011,0.2069,0.034,0.0121,0.056,0.0092,0.0033,0,0,0,0.0194,0.0032,0.0011,0.3795,0.0623,0.0222,0.073,0.012,0.0043,0,0,0,0.0457,0.0075,0.0027,0,0,0,0.1102,0.0181,0.0064,0.9091,0.1493,0.0532,479
263264,2.6667,2.5,0.9375,0.117,0.0439,0.0468,0.0248,0.0093,0.0099,0.1013,0.038,0.0405,0,0,0,0,0,0,0.1139,0.0427,0.0456,0.0592,0.0222,0.0237,0,0,0,0.0344,0.0129,0.0138,0.3328,0.1248,0.1331,0.0497,0.0186,0.0199,0.8333,0.3125,0.3333,582
74949,1.6,1.5,0.9375,0.0538,0.0336,0.0359,0,0,0,0.2319,0.1449,0.1546,0,0,0,0.1124,0.0703,0.0749,0.0616,0.0385,0.0411,0.0228,0.0142,0.0152,0.2163,0.1352,0.1442,0.0313,0.0196,0.0209,0.2325,0.1453,0.155,0.0374,0.0234,0.0249,1,0.625,0.6667,636
16800,0.2857,0,0,0.0144,0.0504,0,0.0285,0.0998,0.076,0.3811,1.334,0.362,0,0,0.0012,0,0,0.0134,0.0699,0.2446,0,0,0,0,0,0,0.0407,0,0,0.0436,0.9346,3.2713,0.7999,0,0,0.0318,1.4286,5,0,639
11722,0.4445,25.7789,58,0.1158,0.2605,0.0045,0,0,0,0.2326,0.5232,0.009,0,0,0,0,0,0,0.3769,0.848,0.0146,0.0898,0.2021,0.0035,0.2264,0.5094,0.0088,0,0,0,0,0,0,0.0697,0.1568,0.0027,1.1112,2.5,0.0431,385
318618,1.7857,6.1428,3.44,0.0189,0.0106,0.0031,0.0317,0.0177,0.0052,0.1202,0.0673,0.0196,0,0,0,0,0,0,0.114,0.0639,0.0186,0.0526,0.0295,0.0086,0,0,0,0.0439,0.0246,0.0071,0.2696,0.151,0.0439,0.0633,0.0355,0.0103,0.7143,0.4,0.1163,640
115157,8.4,3.7,0.4405,0.0519,0.0062,0.014,0.222,0.0264,0.06,0.0793,0.0094,0.0214,0,0,0,0,0,0,0.4584,0.0546,0.1239,0.0284,0.0034,0.0077,0,0,0,0.0411,0.0049,0.0111,0,0,0,0.1189,0.0142,0.0321,1,0.119,0.2703,612
26519,8.4,1.7,0.2024,0.0246,0.0029,0.0145,0,0,0,0.1236,0.0147,0.0727,0,0,0,0.0127,0.0015,0.0075,0.138,0.0164,0.0812,0.0804,0.0096,0.0473,0.2563,0.0305,0.1507,0.0068,0.0008,0.004,0.3012,0.0359,0.1772,0.0564,0.0067,0.0332,1,0.119,0.5882,668
0,10.4906,8.2614,1.1114,0.0821,0,0,0.075,0,0,0.0237,0,0,0.0006,0,0,0.0391,0.1879,0.1691,0.1782,0.3154,0.2838,0.005,0.0283,0.0255,0.1534,0.4249,0.3823,0.0316,0,0,0.0747,0,0,0.0727,0.1549,0.1393,0.939,1.1114,1,591
89368,1.3636,3.4546,2.5333,0.0932,0.0683,0.027,0,0,0,0.2572,0.1886,0.0745,0,0,0,0,0,0,0.0614,0.0451,0.0178,0.0248,0.0182,0.0072,0,0,0,0.0227,0.0167,0.0066,0.4198,0.3079,0.1215,0.0299,0.0219,0.0087,0.9091,0.6667,0.2632,609
265243,2.5714,7.5,2.9167,0.0653,0.0254,0.0087,0,0,0,0.1054,0.041,0.0141,0,0,0,0,0,0,0.1137,0.0442,0.0152,0.037,0.0144,0.0049,0,0,0,0.0458,0.0178,0.0061,0.2921,0.1136,0.0389,0.055,0.0214,0.0073,0.7143,0.2778,0.0952,552
216406,2.8333,7.75,2.7353,0.0117,0.0041,0.0015,0.1583,0.0559,0.0204,0.0432,0.0152,0.0056,0,0,0,0,0,0,0.3159,0.1115,0.0408,0.0367,0.0129,0.0047,0,0,0,0.0353,0.0125,0.0046,0.1473,0.052,0.019,0.085,0.03,0.011,0.8333,0.2941,0.1075,625
233050,2.4167,5.5833,2.3103,0.0185,0.0076,0.0033,0.1625,0.0672,0.0291,0.0581,0.024,0.0104,0,0,0,0,0,0,0.4044,0.1673,0.0724,0.0708,0.0293,0.0127,0,0,0,0.033,0.0136,0.0059,0,0,0,0.0862,0.0357,0.0154,0.8333,0.3448,0.1493,562
37159,16.1112,0.6667,0.0414,0.0364,0.0023,0.0546,0,0,0,0.1972,0.0122,0.2957,0,0,0,0,0,0,0.2239,0.0139,0.3358,0.134,0.0083,0.2009,0,0,0,0.0107,0.0007,0.016,0.4194,0.026,0.6292,0.0896,0.0056,0.1345,1.1111,0.069,1.6667,633
82169,8.0909,1.3636,0.1685,0.0115,0.0014,0.0084,0,0,0,0.1157,0.0143,0.0849,0,0,0,0,0,0,0.1207,0.0149,0.0885,0.0938,0.0116,0.0688,0.2387,0.0295,0.175,0.0058,0.0007,0.0042,0.2701,0.0334,0.1981,0.0529,0.0065,0.0388,0.9091,0.1124,0.6667,665
145146,1.8,5.3,2.9444,0.0894,0.0497,0.0169,0,0,0,0.1756,0.0976,0.0331,0,0,0,0.0783,0.0435,0.0148,0.06,0.0333,0.0113,0.0104,0.0058,0.002,0.1666,0.0926,0.0314,0.0221,0.0123,0.0042,0.3686,0.2048,0.0695,0.0289,0.0161,0.0055,1,0.5556,0.1887,581
9045,0.8334,0,0,0.0197,0.0236,0.0643,0.0408,0.049,0,0.5326,0.639,0.2826,0,0,0,0,0,0.0191,0.0834,0.1,0.2252,0,0,0.2506,0,0,0,0,0,0,0.9903,1.1882,0,0,0,0.0434,1.6667,1.9999,2.3184,615
284497,1.3571,7.5714,5.5789,0.0483,0.0356,0.0064,0.0194,0.0143,0.0026,0.0733,0.054,0.0097,0,0,0,0.03,0.0221,0.004,0.0955,0.0704,0.0126,0.0318,0.0235,0.0042,0,0,0,0.0295,0.0218,0.0039,0.3475,0.2561,0.0459,0.0388,0.0286,0.0051,0.7143,0.5263,0.0943,583
54349,1.4,5.4,3.8571,0.1562,0.1116,0.0289,0.0747,0.0533,0.0138,0.2303,0.1645,0.0426,0,0,0,0,0,0,0.0769,0.0549,0.0142,0.0134,0.0095,0.0025,0,0,0,0.0309,0.0221,0.0057,0.3806,0.2718,0.0705,0.0371,0.0265,0.0069,1,0.7143,0.1852,578
97870,1.6,8.8,5.5,0.0504,0.0315,0.0057,0.0315,0.0197,0.0036,0.1552,0.097,0.0176,0,0,0,0,0,0,0.1245,0.0778,0.0141,0.018,0.0113,0.002,0.1709,0.1068,0.0194,0.0528,0.033,0.006,0,0,0,0.0634,0.0396,0.0072,0.6667,0.4167,0.0758,560
169469,3.25,4.3333,1.3333,0.0627,0.0193,0.0145,0,0,0,0.1805,0.0555,0.0417,0,0,0,0,0,0,0.1508,0.0464,0.0348,0.0126,0.0039,0.0029,0.2539,0.0781,0.0586,0.0785,0.0241,0.0181,0,0,0,0.0944,0.029,0.0218,0.8333,0.2564,0.1923,636
70683,1.6,4.7,2.9375,0.0862,0.0539,0.0183,0,0,0,0.2012,0.1258,0.0428,0.0016,0.001,0.0003,0,0,0,0.0683,0.0427,0.0145,0.0198,0.0124,0.0042,0.1899,0.1187,0.0404,0.0252,0.0158,0.0054,0.3745,0.234,0.0797,0.0332,0.0208,0.0071,1,0.625,0.2128,591
27213,13.1,0.9,0.0687,0.0402,0.0031,0.0447,0,0,0,0.1507,0.0115,0.1674,0,0,0,0,0,0,0.1829,0.014,0.2032,0.1478,0.0113,0.1643,0,0,0,0.0083,0.0006,0.0093,0.4014,0.0306,0.4459,0.0687,0.0052,0.0764,1,0.0763,1.1111,615
97627,0.5,8.8,17.5998,0.0835,0.1669,0.0095,0,0,0,0.3211,0.6421,0.0365,0,0,0,0.1632,0.3264,0.0185,0.0837,0.1674,0.0095,0.0096,0.0192,0.0011,0,0,0,0.0428,0.0856,0.0049,0.2447,0.4895,0.0278,0.0514,0.1029,0.0058,1,2,0.1136,550
55889,7.7,0.1,0.013,0.0457,0.0059,0.4568,0,0,0,0.1217,0.0158,1.2169,0,0,0,0.0102,0.0013,0.102,0.1563,0.0203,1.5629,0.1084,0.0141,1.0845,0,0,0,0.0061,0.0008,0.061,0.4949,0.0643,4.9492,0.0567,0.0074,0.5666,1,0.1299,9.9998,632
45259,10.1,1.3,0.1287,0.034,0.0034,0.0262,0,0,0,0.1259,0.0125,0.0969,0,0,0,0,0,0,0.154,0.0152,0.1184,0.0907,0.009,0.0698,0.2612,0.0259,0.2009,0.0063,0.0006,0.0049,0.27,0.0267,0.2077,0.058,0.0057,0.0446,1,0.099,0.7692,646
197676,1.5333,4.0667,2.6522,0.0384,0.025,0.0094,0,0,0,0.1738,0.1133,0.0427,0,0,0,0.0968,0.0631,0.0238,0.1753,0.1143,0.0431,0.023,0.015,0.0057,0,0,0,0.0691,0.0451,0.017,0,0,0,0.0904,0.0589,0.0222,0.6667,0.4348,0.1639,643
345362,1.5,9.7857,6.5238,0.0642,0.0428,0.0066,0,0,0,0.1022,0.0681,0.0104,0,0,0,0,0,0,0.1104,0.0736,0.0113,0.0386,0.0257,0.0039,0,0,0,0.0333,0.0222,0.0034,0.312,0.208,0.0319,0.0536,0.0357,0.0055,0.7143,0.4762,0.073,560
137264,6.1667,14.3334,2.3243,0.0398,0.0065,0.0028,0,0,0,0.0563,0.0091,0.0039,0,0,0,0,0,0,0.2985,0.0484,0.0208,0.0638,0.0103,0.0045,0,0,0,0.0294,0.0048,0.002,0.2685,0.0435,0.0187,0.0771,0.0125,0.0054,0.8333,0.1351,0.0581,506
191412,2.4167,4.1667,1.7241,0.03,0.0124,0.0072,0.0278,0.0115,0.0067,0.1056,0.0437,0.0253,0,0,0,0,0,0,0.1105,0.0457,0.0265,0.0361,0.015,0.0087,0,0,0,0.0424,0.0175,0.0102,0.4253,0.176,0.1021,0.0557,0.0231,0.0134,0.8333,0.3448,0.2,617
351377,2.4167,13.5,5.5862,0.0211,0.0087,0.0016,0.0814,0.0337,0.006,0.0219,0.0091,0.0016,0,0,0,0.007,0.0029,0.0005,0.2098,0.0868,0.0155,0.0445,0.0184,0.0033,0.1784,0.0738,0.0132,0.0165,0.0068,0.0012,0.2097,0.0868,0.0155,0.0431,0.0178,0.0032,0.8333,0.3448,0.0617,510
34093,8.4546,1.7273,0.2043,0.0413,0.0049,0.0239,0,0,0,0.1792,0.0212,0.1037,0,0,0,0,0,0,0.2369,0.028,0.1371,0.0703,0.0083,0.0407,0,0,0,0.0099,0.0012,0.0057,0.2888,0.0342,0.1672,0.0829,0.0098,0.048,0.9091,0.1075,0.5263,619
95836,1.4545,2.8182,1.9375,0.1423,0.0978,0.0505,0.0457,0.0314,0.0162,0.1387,0.0954,0.0492,0,0,0,0.0626,0.043,0.0222,0.0566,0.0389,0.0201,0.0205,0.0141,0.0073,0,0,0,0.019,0.0131,0.0068,0.4007,0.2755,0.1422,0.0229,0.0158,0.0081,0.9091,0.625,0.3226,587
140301,5.2727,16.1818,3.069,0.0187,0.0035,0.0012,0.109,0.0207,0.0067,0.0296,0.0056,0.0018,0,0,0,0.0093,0.0018,0.0006,0.2248,0.0426,0.0139,0.0276,0.0052,0.0017,0.2395,0.0454,0.0148,0.0241,0.0046,0.0015,0.1685,0.0319,0.0104,0.058,0.011,0.0036,0.9091,0.1724,0.0562,483
57832,1.5,7.6,5.0667,0.1883,0.1255,0.0248,0.0528,0.0352,0.0069,0.1609,0.1073,0.0212,0,0,0,0,0,0,0.0557,0.0371,0.0073,0.0211,0.014,0.0028,0,0,0,0.0147,0.0098,0.0019,0.4802,0.3201,0.0632,0.0264,0.0176,0.0035,1,0.6667,0.1316,537
322478,3.0909,8.5455,2.7647,0.0379,0.0123,0.0044,0.0291,0.0094,0.0034,0.1093,0.0354,0.0128,0,0,0,0.0461,0.0149,0.0054,0.1021,0.033,0.0119,0.0249,0.0081,0.0029,0.1564,0.0506,0.0183,0.0403,0.013,0.0047,0.3051,0.0987,0.0357,0.0579,0.0187,0.0068,0.9091,0.2941,0.1064,562
414704,1.0909,1.9091,1.75,0.0534,0.049,0.028,0.0247,0.0226,0.0129,0.0929,0.0852,0.0487,0,0,0,0,0,0,0.1162,0.1065,0.0609,0.0462,0.0424,0.0242,0.1322,0.1211,0.0692,0.0374,0.0343,0.0196,0.357,0.3273,0.187,0.049,0.0449,0.0257,0.9091,0.8333,0.4762,577
160629,1.3636,3.0909,2.2667,0.0739,0.0542,0.0239,0.0302,0.0222,0.0098,0.1151,0.0844,0.0372,0,0,0,0,0,0,0.1245,0.0913,0.0403,0.0361,0.0265,0.0117,0,0,0,0.046,0.0338,0.0149,0.423,0.3102,0.1369,0.0603,0.0442,0.0195,0.9091,0.6667,0.2941,622
66682,10,0.8182,0.0818,0.0327,0.0033,0.04,0,0,0,0.0704,0.007,0.086,0,0,0,0.0068,0.0007,0.0083,0.119,0.0119,0.1455,0.1305,0.0131,0.1595,0.1456,0.0146,0.178,0.0031,0.0003,0.0038,0.3684,0.0368,0.4503,0.0325,0.0032,0.0397,0.9091,0.0909,1.1111,613
44190,5.7273,0.9091,0.1587,0.0432,0.0075,0.0475,0,0,0,0.0903,0.0158,0.0993,0,0,0,0.009,0.0016,0.0099,0.1331,0.0232,0.1464,0.1316,0.023,0.1448,0,0,0,0.0049,0.0009,0.0054,0.455,0.0794,0.5005,0.042,0.0073,0.0462,0.9091,0.1587,1,613
7587,0.4,0,0,0.0034,0.0086,0,0,0,0.0025,0.3538,0.8843,0,0,0,0.001,0,0,0,0.0442,0.1104,0,0,0,0.2971,0,0,0,0,0,0.0129,0.5987,1.4965,0.3855,0,0,0.0453,1,2.4998,1.1218,691
151294,1.8,7.6,4.2222,0.0703,0.0391,0.0093,0.0545,0.0303,0.0072,0.2272,0.1262,0.0299,0,0,0,0.1022,0.0568,0.0134,0.0558,0.031,0.0073,0.0098,0.0054,0.0013,0.1559,0.0866,0.0205,0.0226,0.0125,0.003,0.2746,0.1526,0.0361,0.0271,0.015,0.0036,1,0.5556,0.1316,523
283687,3.1538,6.7692,2.1463,0.0361,0.0115,0.0053,0,0,0,0.1298,0.0412,0.0192,0,0,0,0.0727,0.0231,0.0107,0.13,0.0412,0.0192,0.0552,0.0175,0.0082,0,0,0,0.0429,0.0136,0.0063,0.2335,0.074,0.0345,0.069,0.0219,0.0102,0.7692,0.2439,0.1136,629
201724,0.8,1.6,2,0.0574,0.0717,0.0359,0,0,0,0.0729,0.0911,0.0455,0,0,0,0,0,0,0.0777,0.0971,0.0485,0.027,0.0338,0.0169,0.1011,0.1264,0.0632,0.0312,0.0391,0.0195,0.2618,0.3273,0.1636,0.0376,0.047,0.0235,0.6667,0.8333,0.4167,661
28413,7.3,1.1,0.1507,0.0261,0.0036,0.0237,0,0,0,0.1219,0.0167,0.1108,0,0,0,0,0,0,0.1485,0.0203,0.135,0.0688,0.0094,0.0626,0.2518,0.0345,0.2289,0.0062,0.0008,0.0056,0.3208,0.044,0.2917,0.0559,0.0077,0.0508,1,0.137,0.9091,632
73455,8.3,0.4,0.0482,0.0417,0.005,0.1042,0,0,0,0.0834,0.0101,0.2086,0,0,0,0,0,0,0.1269,0.0153,0.3172,0.0884,0.0106,0.2209,0.1745,0.021,0.4363,0.0046,0.0006,0.0114,0.4419,0.0532,1.1047,0.0387,0.0047,0.0967,1,0.1205,2.5,632
163754,3.6364,4.7273,1.3,0.0449,0.0123,0.0095,0,0,0,0.1379,0.0379,0.0292,0,0,0,0.0809,0.0223,0.0171,0.1245,0.0342,0.0263,0.0459,0.0126,0.0097,0,0,0,0.0504,0.0139,0.0107,0.3519,0.0968,0.0744,0.0727,0.02,0.0154,0.9091,0.25,0.1923,621
28638,0.3333,24.8889,74.6667,0.0579,0.1737,0.0023,0.252,0.756,0.0101,0.116,0.3481,0.0047,0,0,0,0,0,0,0.1465,0.4395,0.0059,0.0371,0.1113,0.0015,0,0,0,0,0,0,0.4729,1.4186,0.019,0.0287,0.0862,0.0012,1.1111,3.3333,0.0446,433
187322,1.5,5.2,3.4667,0.0916,0.061,0.0176,0.0506,0.0337,0.0097,0.2251,0.1501,0.0433,0,0,0,0,0,0,0.0589,0.0392,0.0113,0.0304,0.0203,0.0058,0.1438,0.0959,0.0277,0.0208,0.0139,0.004,0.3537,0.2358,0.068,0.0251,0.0167,0.0048,1,0.6667,0.1923,614
42272,7,1.0909,0.1558,0.0308,0.0044,0.0283,0,0,0,0.1754,0.0251,0.1608,0,0,0,0,0,0,0.1995,0.0285,0.1829,0.0537,0.0077,0.0492,0,0,0,0.0088,0.0013,0.0081,0.3593,0.0513,0.3293,0.0815,0.0116,0.0747,0.9091,0.1299,0.8333,644
77586,1.4,0.2,0.1429,0.1279,0.0913,0.6394,0.0854,0.061,0.4272,0.261,0.1864,1.305,0,0,0,0,0,0,0.0839,0.06,0.4197,0.0321,0.0229,0.1603,0,0,0,0.0355,0.0254,0.1775,0.3315,0.2368,1.6575,0.0427,0.0305,0.2133,1,0.7143,5.0001,667
413364,3.6923,5.2308,1.4167,0.0661,0.0179,0.0126,0.021,0.0057,0.004,0.0957,0.0259,0.0183,0,0,0,0,0,0,0.0872,0.0236,0.0167,0.0352,0.0095,0.0067,0.1132,0.0307,0.0216,0.035,0.0095,0.0067,0.2737,0.0741,0.0523,0.0421,0.0114,0.008,0.7692,0.2083,0.1471,738
267668,7.6667,13,1.6957,0.0515,0.0067,0.004,0,0,0,0.0526,0.0069,0.004,0,0,0,0,0,0,0.3145,0.041,0.0242,0.0588,0.0077,0.0045,0,0,0,0.0248,0.0032,0.0019,0.2598,0.0339,0.02,0.0713,0.0093,0.0055,0.8333,0.1087,0.0641,489
111944,0.8,4,5,0.0835,0.1043,0.0209,0,0,0,0.1821,0.2277,0.0455,0,0,0,0,0,0,0.0682,0.0853,0.0171,0.0157,0.0196,0.0039,0.1702,0.2128,0.0426,0.0247,0.0308,0.0062,0.4258,0.5323,0.1065,0.0297,0.0372,0.0074,1,1.25,0.25,613
0,5.4048,7.7858,3.5334,0.0407,0,0,0,0,0,0.191,0,0,0.0003,0,0,0.0696,0.0598,0.0169,0.133,0.0738,0.0209,0.0722,0.014,0.004,0.1362,0.1569,0.0444,0.0061,0,0,0.3272,0.3074,0.087,0.1279,0.0548,0.0155,0.9261,0.6667,0.1887,585
